# 譜面サンプル
# 同時押しは同じ時間で複数行を記述

# 譜面csvを作成したらUnityエディタ画面上部[Tools]メニュー→[Generate Score Texture]をクリック
# [譜面CSVファイル]欄にこのファイルをドラッグ＆ドロップで割り当てて[テクスチャ作成]ボタンを押下
# 同フォルダ内に (出力ファイル名).exr ファイルが出力されるので、
# それを GameMaterial (Materialsフォルダ内にあります)
# の[Score Texture]パラメータのテクスチャ部にドラッグ＆ドロップで適用完了です。

# 時間(秒), 入力ボタン(1 or 2)
1.0, 1
1.5, 1
2.0, 1
2.5, 2
3.0, 1
3.2, 1
3.5, 2
4.0, 1
4.0, 2
4.5, 1
4.8, 1
5.1, 1
6.0, 2
6.7, 2
7.4, 2
8.1, 2
8.5, 1
9.0, 1
9.0, 2
#
10.0, 1
10.5, 2
11.0, 1
11.5, 1
12.0, 1
12.5, 2
13.0, 1
13.2, 1
13.5, 2
14.0, 1
14.0, 2
14.5, 1
14.8, 1
15.1, 1
16.0, 2
16.7, 2
17.4, 2
18.1, 2
18.5, 1
19.0, 1
19.0, 2
#
20.0, 1
20.5, 2
21.5, 1
22.0, 1
22.5, 2
23.0, 1
23.2, 1
23.5, 2
24.0, 1
24.0, 2
24.5, 1
24.8, 1
25.1, 1
26.0, 2
26.7, 2
27.4, 2
28.1, 2
28.5, 1
29.0, 1
29.0, 2
#
30.0, 1
30.5, 2
31.5, 1
32.0, 1
32.5, 2
33.0, 1
33.2, 1
33.5, 2
34.0, 1
34.0, 2
34.5, 1
34.8, 1
35.1, 1
36.0, 2
36.7, 2
37.4, 2
38.1, 2
38.5, 1
39.0, 1
39.0, 2
#
40.0, 1
40.5, 2
41.5, 1
42.0, 1
42.5, 2
43.0, 1
43.2, 1
43.5, 2
44.0, 1
44.0, 2
44.5, 1
44.8, 1
45.1, 1
46.0, 2
46.7, 2
47.4, 2
48.1, 2
48.5, 1
49.0, 1
49.0, 2
